Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
ROYCE GRACIE,GERARD GORDEAU,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:44,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KEN SHAMROCK,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,0:57,SUBMISSION,-,-,-,-,-,-
GERARD GORDEAU,KEVIN ROSIER,UNLIMITED,NO TITLE,WINNER: GERARD GORDEAU,1,0:59,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,ART JIMMERSON,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,2:18,SUBMISSION,-,-,-,-,-,-
GERARD GORDEAU,TEILA TULI,UNLIMITED,NO TITLE,WINNER: GERARD GORDEAU,1,0:26,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,PATRICK SMITH,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,1:49,SUBMISSION,-,-,-,-,-,-
KEVIN ROSIER,ZANE FRAZIER,UNLIMITED,NO TITLE,WINNER: KEVIN ROSIER,1,4:20,KO/TKO,-,-,-,-,-,-
JASON DELUCIA,TRENT JENKINS,UNLIMITED,NO TITLE,WINNER: JASON DELUCIA,1,0:52,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,PATRICK SMITH,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:17,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,REMCO PARDOEL,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:31,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,JOHNNY RHODES,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,1:07,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,JASON DELUCIA,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:07,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,SCOTT MORRIS,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,0:30,KO/TKO,-,-,-,-,-,-
JOHNNY RHODES,FRED ETTISH,UNLIMITED,NO TITLE,WINNER: JOHNNY RHODES,1,3:07,SUBMISSION,-,-,-,-,-,-
REMCO PARDOEL,ORLANDO WELT,UNLIMITED,NO TITLE,WINNER: REMCO PARDOEL,1,1:29,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,MINOKI ICHIHARA,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,5:08,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,RAY WIZARD,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,0:58,SUBMISSION,-,-,-,-,-,-
JOHNNY RHODES,DAVID LEVICKI,UNLIMITED,NO TITLE,WINNER: JOHNNY RHODES,1,12:13,KO/TKO,-,-,-,-,-,-
REMCO PARDOEL,ALBERTO CERRO LEON,UNLIMITED,NO TITLE,WINNER: REMCO PARDOEL,1,9:51,SUBMISSION,-,-,-,-,-,-
SCOTT MORRIS,SEAN DAUGHTERY,UNLIMITED,NO TITLE,WINNER: SCOTT MORRIS,1,0:20,SUBMISSION,-,-,-,-,-,-
FRANK HAMAKER,THADDEUS LUSTER,UNLIMITED,NO TITLE,WINNER: FRANK HAMAKER,1,4:52,SUBMISSION,-,-,-,-,-,-
ORLANDO WELT,ROBERT LUCARELLI,UNLIMITED,NO TITLE,WINNER: ORLANDO WELT,1,2:50,KO/TKO,-,-,-,-,-,-
JASON DELUCIA,SCOTT BAKER,UNLIMITED,NO TITLE,WINNER: JASON DELUCIA,1,6:41,SUBMISSION,-,-,-,-,-,-
STEVE JENNUM,N/A,BOUT,NO TITLE,WINNER: STEVE JENNUM,1,1:27,KO/TKO,-,-,-,-,-,-
KIMO LEOPOLDO,ROYCE GRACIE,UNLIMITED,NO TITLE,NO CONTEST,,,,-,-,-,-,-,-
KEN SHAMROCK,FELIX LEE MITCHELL,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,4:34,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KIMO LEOPOLDO,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,4:40,SUBMISSION,-,-,-,-,-,-
N/A,ROLAND PAYNE,BOUT,NO TITLE,WINNER: N/A,1,0:46,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,CHRISTOPHE LEININGER,BOUT,NO TITLE,WINNER: KEN SHAMROCK,1,4:49,KO/TKO,-,-,-,-,-,-
KEITH HACKNEY,EMMANUEL YARBROUGH,BOUT,NO TITLE,WINNER: KEITH HACKNEY,1,1:59,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,DAN SEVERN,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,15:49,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KEITH HACKNEY,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,5:32,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,MARCUS BOSSETT,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,0:52,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,RON VAN CLIEF,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,3:49,SUBMISSION,-,-,-,-,-,-
KEITH HACKNEY,JOE SON,UNLIMITED,NO TITLE,WINNER: KEITH HACKNEY,1,2:44,SUBMISSION,-,-,-,-,-,-
STEVE JENNUM,MELTON BOWEN,UNLIMITED,NO TITLE,WINNER: STEVE JENNUM,1,4:47,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,ANTHONY MACIAS,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,1:45,SUBMISSION,-,-,-,-,-,-
MARCUS BOSSETT,ELDO DIAS XAVIER,UNLIMITED,NO TITLE,WINNER: MARCUS BOSSETT,1,4:55,KO/TKO,-,-,-,-,-,-
GUY MEZGER,JASON FAIRN,UNLIMITED,NO TITLE,WINNER: GUY MEZGER,1,2:13,KO/TKO,-,-,-,-,-,-
JOE CHARLES,KEVIN ROSIER,UNLIMITED,NO TITLE,WINNER: JOE CHARLES,1,0:14,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,DAVE BENETEAU,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,3:01,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KEN SHAMROCK,UNLIMITED,NO TITLE,DRAW,2,5:00,OTHER,-,-,-,-,-,-
DAN SEVERN,OLEG TAKTAROV,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,4:21,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
DAVE BENETEAU,TODD MEDINA,UNLIMITED,NO TITLE,WINNER: DAVE BENETEAU,1,2:12,KO/TKO,-,-,-,-,-,-
DAN SEVERN,JOE CHARLES,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,1:38,SUBMISSION,-,-,-,-,-,-
OLEG TAKTAROV,ERNIE VERDICIA,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,2:23,SUBMISSION,-,-,-,-,-,-
TODD MEDINA,LARRY CURETON,UNLIMITED,NO TITLE,WINNER: TODD MEDINA,1,2:55,SUBMISSION,-,-,-,-,-,-
JON HESS,ANDY ANDERSON,UNLIMITED,NO TITLE,WINNER: JON HESS,1,1:23,KO/TKO,-,-,-,-,-,-
DAVE BENETEAU,ASBEL CANCIO,UNLIMITED,NO TITLE,WINNER: DAVE BENETEAU,1,0:21,KO/TKO,-,-,-,-,-,-
GUY MEZGER,JOHN DOWDY,UNLIMITED,NO TITLE,WINNER: GUY MEZGER,1,2:02,KO/TKO,-,-,-,-,-,-
OLEG TAKTAROV,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,17:45,SUBMISSION,-,-,-,-,-,-
KEN SHAMROCK,DAN SEVERN,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,2:14,SUBMISSION,-,-,-,-,-,-
OLEG TAKTAROV,ANTHONY MACIAS,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,0:09,SUBMISSION,-,-,-,-,-,-
TANK ABBOTT,PAUL VARELANS,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,1:53,KO/TKO,-,-,-,-,-,-
OLEG TAKTAROV,DAVE BENETEAU,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,0:57,SUBMISSION,-,-,-,-,-,-
TANK ABBOTT,JOHN MATUA,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,0:20,KO/TKO,-,-,-,-,-,-
PAUL VARELANS,CAL WORSHAM,UNLIMITED,NO TITLE,WINNER: PAUL VARELANS,1,1:02,KO/TKO,-,-,-,-,-,-
PATRICK SMITH,RUDYARD MONCAYO,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,1:08,SUBMISSION,-,-,-,-,-,-
ANTHONY MACIAS,HE-MAN GIPSON,UNLIMITED,NO TITLE,WINNER: ANTHONY MACIAS,1,3:06,KO/TKO,-,-,-,-,-,-
JOEL SUTTON,JACK MCGLAUGHLIN,UNLIMITED,NO TITLE,WINNER: JOEL SUTTON,1,2:01,KO/TKO,-,-,-,-,-,-
MARCO RUAS,PAUL VARELANS,UNLIMITED,NO TITLE,WINNER: MARCO RUAS,1,13:17,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,OLEG TAKTAROV,UNLIMITED,NO TITLE,DRAW,2,3:00,OTHER,-,-,-,-,-,-
MARCO RUAS,REMCO PARDOEL,UNLIMITED,NO TITLE,WINNER: MARCO RUAS,1,12:27,SUBMISSION,-,-,-,-,-,-
PAUL VARELANS,MARK HALL,UNLIMITED,NO TITLE,WINNER: PAUL VARELANS,1,1:01,SUBMISSION,-,-,-,-,-,-
MARCO RUAS,LARRY CURETON,UNLIMITED,NO TITLE,WINNER: MARCO RUAS,1,3:23,SUBMISSION,-,-,-,-,-,-
PAUL VARELANS,GERRY HARRIS,UNLIMITED,NO TITLE,WINNER: PAUL VARELANS,1,1:05,KO/TKO,-,-,-,-,-,-
REMCO PARDOEL,RYAN PARKER,UNLIMITED,NO TITLE,WINNER: REMCO PARDOEL,1,3:05,SUBMISSION,-,-,-,-,-,-
MARK HALL,HAROLD HOWARD,UNLIMITED,NO TITLE,WINNER: MARK HALL,1,1:41,KO/TKO,-,-,-,-,-,-
ONASSIS PARUNGAO,FRANCESCO MATURI,UNLIMITED,NO TITLE,WINNER: ONASSIS PARUNGAO,1,5:26,KO/TKO,-,-,-,-,-,-
JOEL SUTTON,GEZA KAHLMAN JR,UNLIMITED,NO TITLE,WINNER: JOEL SUTTON,1,0:48,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
SCOTT BESSAC,DAVID HOOD,UNLIMITED,NO TITLE,WINNER: SCOTT BESSAC,1,0:31,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,OLEG TAKTAROV,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
OLEG TAKTAROV,MARCO RUAS,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
DAN SEVERN,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
OLEG TAKTAROV,DAVE BENETEAU,UNLIMITED,NO TITLE,WINNER: OLEG TAKTAROV,1,1:15,SUBMISSION,-,-,-,-,-,-
MARCO RUAS,KEITH HACKNEY,UNLIMITED,NO TITLE,WINNER: MARCO RUAS,1,2:39,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,PAUL VARELANS,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,1:01,SUBMISSION,-,-,-,-,-,-
TANK ABBOTT,STEVE JENNUM,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,1:14,SUBMISSION,-,-,-,-,-,-
JOE CHARLES,SCOTT BESSAC,UNLIMITED,NO TITLE,WINNER: JOE CHARLES,1,4:38,SUBMISSION,-,-,-,-,-,-
MARK HALL,TRENT JENKINS,UNLIMITED,NO TITLE,WINNER: MARK HALL,1,5:29,SUBMISSION,-,-,-,-,-,-
DON FRYE,GARY GOODRIDGE,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,2:14,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,KIMO LEOPOLDO,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,4:24,SUBMISSION,-,-,-,-,-,-
GARY GOODRIDGE,JERRY BOHLANDER,UNLIMITED,NO TITLE,WINNER: GARY GOODRIDGE,1,5:31,KO/TKO,-,-,-,-,-,-
DON FRYE,SAM ADKINS,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,0:48,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
GARY GOODRIDGE,PAUL HERRERA,UNLIMITED,NO TITLE,WINNER: GARY GOODRIDGE,1,0:13,KO/TKO,-,-,-,-,-,-
JERRY BOHLANDER,SCOTT FERROZZO,UNLIMITED,NO TITLE,WINNER: JERRY BOHLANDER,1,9:03,SUBMISSION,-,-,-,-,-,-
PAUL VARELANS,JOE MORIERA,UNLIMITED,NO TITLE,WINNER: PAUL VARELANS,1,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
DON FRYE,THOMAS RAMIREZ,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,0:08,KO/TKO,-,-,-,-,-,-
SAM ADKINS,KEITH MIELKE,UNLIMITED,NO TITLE,WINNER: SAM ADKINS,1,0:50,KO/TKO,-,-,-,-,-,-
DAN SEVERN,KEN SHAMROCK,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,3,3:00,DECISION - SPLIT,-,-,-,-,-,-
DON FRYE,AMAURY BITETTI,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,9:30,KO/TKO,-,-,-,-,-,-
MARK HALL,KOJI KITAO,UNLIMITED,NO TITLE,WINNER: MARK HALL,1,0:47,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
MARK SCHULTZ,GARY GOODRIDGE,UNLIMITED,NO TITLE,WINNER: MARK SCHULTZ,1,12:00,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
RAFAEL CARINO,MATT ANDERSEN,UNLIMITED,NO TITLE,WINNER: RAFAEL CARINO,1,5:32,KO/TKO,-,-,-,-,-,-
CAL WORSHAM,ZANE FRAZIER,UNLIMITED,NO TITLE,WINNER: CAL WORSHAM,1,3:14,KO/TKO,-,-,-,-,-,-
STEVE NELMARK,TAI BOWDEN,UNLIMITED,NO TITLE,WINNER: STEVE NELMARK,1,7:25,TKO - DOCTOR'S STOPPAGE,-,-,-,-,-,-
MARK COLEMAN,DON FRYE,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,11:34,KO/TKO,-,-,-,-,-,-
MARK COLEMAN,GARY GOODRIDGE,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,7:00,SUBMISSION,-,-,-,-,-,-
DON FRYE,BRIAN JOHNSTON,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,4:37,KO/TKO,-,-,-,-,-,-
GARY GOODRIDGE,JOHN CAMPETELLA,UNLIMITED,NO TITLE,WINNER: GARY GOODRIDGE,1,1:28,KO/TKO,-,-,-,-,-,-
MARK COLEMAN,MOTI HORENSTEIN,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,2:43,KO/TKO,-,-,-,-,-,-
BRIAN JOHNSTON,SCOTT FIELDER,UNLIMITED,NO TITLE,WINNER: BRIAN JOHNSTON,1,2:25,KO/TKO,-,-,-,-,-,-
DON FRYE,MARK HALL,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,10:21,KO/TKO,-,-,-,-,-,-
SAM ADKINS,FELIX LEE MITCHELL,UNLIMITED,NO TITLE,WINNER: SAM ADKINS,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
GEZA KAHLMAN JR,DIEUSEL BERTO,UNLIMITED,NO TITLE,WINNER: GEZA KAHLMAN JR,1,5:57,KO/TKO,-,-,-,-,-,-
MARK COLEMAN,JULIAN SANCHEZ,BOUT,NO TITLE,WINNER: MARK COLEMAN,1,0:45,SUBMISSION,-,-,-,-,-,-
MARK COLEMAN,BRIAN JOHNSTON,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,2:20,KO/TKO,-,-,-,-,-,-
SCOTT FERROZZO,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: SCOTT FERROZZO,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
MARK COLEMAN,JULIAN SANCHEZ,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,,SUBMISSION,-,-,-,-,-,-
BRIAN JOHNSTON,REZA NAZRI,BOUT,NO TITLE,WINNER: BRIAN JOHNSTON,1,0:28,KO/TKO,-,-,-,-,-,-
TANK ABBOTT,SAM ADKINS,BOUT,NO TITLE,WINNER: TANK ABBOTT,1,2:06,SUBMISSION,-,-,-,-,-,-
JERRY BOHLANDER,FABIO GURGEL,BOUT,NO TITLE,WINNER: JERRY BOHLANDER,1,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
SCOTT FERROZZO,SAM FULTON,BOUT,NO TITLE,WINNER: SCOTT FERROZZO,1,1:45,SUBMISSION,-,-,-,-,-,-
ROBERTO TRAVEN,DAVE BERRY,BOUT,NO TITLE,WINNER: ROBERTO TRAVEN,1,1:33,KO/TKO,-,-,-,-,-,-
DON FRYE,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,1:22,SUBMISSION,-,-,-,-,-,-
DON FRYE,MARK HALL,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,0:20,SUBMISSION,-,-,-,-,-,-
TANK ABBOTT,STEVE NELMARK,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,1:03,KO/TKO,-,-,-,-,-,-
KIMO LEOPOLDO,PAUL VARELANS,UNLIMITED,NO TITLE,WINNER: KIMO LEOPOLDO,1,9:08,KO/TKO,-,-,-,-,-,-
TANK ABBOTT,CAL WORSHAM,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,2:51,KO/TKO,-,-,-,-,-,-
DON FRYE,GARY GOODRIDGE,UNLIMITED,NO TITLE,WINNER: DON FRYE,1,11:19,SUBMISSION,-,-,-,-,-,-
KEN SHAMROCK,BRIAN JOHNSTON,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,5:48,SUBMISSION,-,-,-,-,-,-
MARK HALL,FELIX LEE MITCHELL,UNLIMITED,NO TITLE,WINNER: MARK HALL,1,1:45,KO/TKO,-,-,-,-,-,-
STEVE NELMARK,MARCUS BOSSETT,UNLIMITED,NO TITLE,WINNER: STEVE NELMARK,1,1:37,SUBMISSION,-,-,-,-,-,-
NICK SANZO,JACKIE LEE,UNLIMITED,NO TITLE,WINNER: NICK SANZO,1,0:48,KO/TKO,-,-,-,-,-,-
JUSTIN MARTIN,ERIC MARTIN,UNLIMITED,NO TITLE,WINNER: JUSTIN MARTIN,1,0:14,SUBMISSION,-,-,-,-,-,-
JERRY BOHLANDER,RAINY MARTINEZ,UNLIMITED,NO TITLE,WINNER: JERRY BOHLANDER,1,1:24,SUBMISSION,-,-,-,-,-,-
YOSHIKI TAKAHASHI,WALLID ISMAIL,UNLIMITED,NO TITLE,WINNER: YOSHIKI TAKAHASHI,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
SCOTT FERROZZO,JIM MULLEN,UNLIMITED,NO TITLE,WINNER: SCOTT FERROZZO,1,8:02,KO/TKO,-,-,-,-,-,-
TRA TELLIGMAN,VITOR BELFORT,UNLIMITED,NO TITLE,WINNER: VITOR BELFORT,1,1:17,KO/TKO,-,-,-,BRAZIL,-,-
JERRY BOHLANDER,NICK SANZO,UNLIMITED,NO TITLE,WINNER: JERRY BOHLANDER,1,0:39,SUBMISSION,-,-,-,-,-,-
VITOR BELFORT,SCOTT FERROZZO,UNLIMITED,NO TITLE,WINNER: VITOR BELFORT,1,0:43,KO/TKO,-,-,BRAZIL,-,-,-
MARK COLEMAN,DAN SEVERN,UNLIMITED,NO TITLE,WINNER: MARK COLEMAN,1,2:57,SUBMISSION,-,-,-,-,-,-
RANDY COUTURE,STEVEN GRAHAM,UNLIMITED,NO TITLE,WINNER: RANDY COUTURE,1,3:13,KO/TKO,-,-,-,-,-,-
GUY MEZGER,TITO ORTIZ,UNLIMITED,NO TITLE,WINNER: GUY MEZGER,1,2:00,SUBMISSION,-,-,-,-,-,-
VITOR BELFORT,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: VITOR BELFORT,1,0:52,KO/TKO,-,-,BRAZIL,-,-,-
STEVEN GRAHAM,DMITREI STEPANOV,UNLIMITED,NO TITLE,WINNER: STEVEN GRAHAM,1,1:30,SUBMISSION,-,-,-,-,-,-
RANDY COUTURE,TONY HALME,UNLIMITED,NO TITLE,WINNER: RANDY COUTURE,1,0:56,SUBMISSION,-,-,-,-,-,-
ENSON INOUE,ROYCE ALGER,UNLIMITED,NO TITLE,WINNER: ENSON INOUE,1,1:36,SUBMISSION,-,-,-,-,-,-
GUY MEZGER,CHRISTOPHE LEININGER,UNLIMITED,NO TITLE,WINNER: GUY MEZGER,2,3:00,DECISION - UNANIMOUS,-,-,-,-,-,-
JACK NILSSON,SAEED HOSSEINI,UNLIMITED,NO TITLE,WINNER: JACK NILSSON,1,1:23,KO/TKO,-,-,-,-,-,-
TITO ORTIZ,WES ALBRITTON,UNLIMITED,NO TITLE,WINNER: TITO ORTIZ,1,0:31,KO/TKO,-,-,-,-,-,-
MARK KERR,DANIEL BOBISH,UNLIMITED,NO TITLE,WINNER: MARK KERR,1,1:38,SUBMISSION,-,-,-,-,-,-
KEVIN JACKSON,ANTHONY FRYKLUND,UNLIMITED,NO TITLE,WINNER: KEVIN JACKSON,1,0:44,SUBMISSION,-,-,-,-,-,-
MAURICE SMITH,MARK COLEMAN,UNLIMITED,NO TITLE,WINNER: MAURICE SMITH,3,3:00,DECISION - UNANIMOUS,-,-,-,-,-,-
MARK KERR,MOTI HORENSTEIN,UNLIMITED,NO TITLE,WINNER: MARK KERR,1,2:22,KO/TKO,-,-,-,-,-,-
DANIEL BOBISH,BRIAN JOHNSTON,UNLIMITED,NO TITLE,WINNER: DANIEL BOBISH,1,2:10,SUBMISSION,-,-,-,-,-,-
KEVIN JACKSON,TODD BUTLER,UNLIMITED,NO TITLE,WINNER: KEVIN JACKSON,1,1:27,KO/TKO,-,-,-,-,-,-
JOE MORIERA,YURI VAULIN,UNLIMITED,NO TITLE,WINNER: JOE MORIERA,2,3:00,DECISION - UNANIMOUS,-,-,-,-,-,-
ALEX HUNTER,SAM FULTON,UNLIMITED,NO TITLE,WINNER: ALEX HUNTER,1,2:30,SUBMISSION,-,-,-,-,-,-
ANTHONY FRYKLUND,DONNIE CHAPPELL,UNLIMITED,NO TITLE,WINNER: ANTHONY FRYKLUND,1,1:31,SUBMISSION,-,-,-,-,-,-
MAURICE SMITH,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: MAURICE SMITH,1,8:08,SUBMISSION,-,-,-,-,-,-
MARK KERR,DUANE CASON,UNLIMITED,NO TITLE,WINNER: MARK KERR,1,0:53,SUBMISSION,-,-,-,-,-,-
RANDY COUTURE,VITOR BELFORT,UNLIMITED,NO TITLE,WINNER: RANDY COUTURE,1,8:16,KO/TKO,-,-,-,BRAZIL,-,-
MARK KERR,GREG STOTT,UNLIMITED,NO TITLE,WINNER: MARK KERR,1,0:17,KO/TKO,-,-,-,-,-,-
DAVE BENETEAU,CARLOS BARETTO,UNLIMITED,NO TITLE,WINNER: DAVE BENETEAU,2,3:00,DECISION - UNANIMOUS,-,-,-,-,-,-
DUANE CASON,HOUSTON DORR,UNLIMITED,NO TITLE,WINNER: DUANE CASON,1,3:43,KO/TKO,-,-,-,-,-,-
ALEX HUNTER,HARRY MOSKOWITZ,UNLIMITED,NO TITLE,WINNER: ALEX HUNTER,1,12:00,DECISION - SPLIT,-,-,-,-,-,-
FRANK SHAMROCK,IGOR ZINOVIEV,UNLIMITED,NO TITLE,WINNER: FRANK SHAMROCK,1,0:22,KO/TKO,-,-,-,-,-,-
PAT MILETICH,CHRIS BRENNAN,UNLIMITED,NO TITLE,WINNER: PAT MILETICH,1,9:02,SUBMISSION,-,-,-,-,-,-
TSUYOSHI KOSAKA,KIMO LEOPOLDO,UNLIMITED,NO TITLE,WINNER: TSUYOSHI KOSAKA,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
JERRY BOHLANDER,KEVIN JACKSON,UNLIMITED,NO TITLE,WINNER: JERRY BOHLANDER,1,10:23,SUBMISSION,-,-,-,-,-,-
PAT MILETICH,TOWNSEND SAUNDERS,UNLIMITED,NO TITLE,WINNER: PAT MILETICH,2,5:00,DECISION - SPLIT,-,-,-,-,-,-
MIKEY BURNETT,EUGENIO TADEU,UNLIMITED,NO TITLE,WINNER: MIKEY BURNETT,1,9:45,KO/TKO,-,-,-,-,-,-
CHRIS BRENNAN,COURTNEY TURNER,UNLIMITED,NO TITLE,WINNER: CHRIS BRENNAN,1,1:20,SUBMISSION,-,-,-,-,-,-
LAVERNE CLARK,JOSH STUART,UNLIMITED,NO TITLE,WINNER: LAVERNE CLARK,1,1:15,KO/TKO,-,-,-,-,-,-
FRANK SHAMROCK,JEREMY HORN,UNLIMITED,NO TITLE,WINNER: FRANK SHAMROCK,2,1:28,SUBMISSION,-,-,-,-,-,-
PETE WILLIAMS,MARK COLEMAN,UNLIMITED,NO TITLE,WINNER: PETE WILLIAMS,2,0:38,KO/TKO,-,-,-,-,-,-
TANK ABBOTT,HUGO DUARTE,UNLIMITED,NO TITLE,WINNER: TANK ABBOTT,1,0:43,KO/TKO,-,-,-,-,-,-
MIKE VAN ARSDALE,JOE PARDO,UNLIMITED,NO TITLE,WINNER: MIKE VAN ARSDALE,1,11:01,SUBMISSION,-,-,-,-,-,-
ANDRE ROBERTS,HARRY MOSKOWITZ,UNLIMITED,NO TITLE,WINNER: ANDRE ROBERTS,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
CARLOS NEWTON,DAN HENDERSON,UNLIMITED,NO TITLE,WINNER: DAN HENDERSON,2,5:00,DECISION - SPLIT,-,-,-,-,-,-
DAN HENDERSON,ALLAN GOES,UNLIMITED,NO TITLE,WINNER: DAN HENDERSON,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
CARLOS NEWTON,BOB GILSTRAP,UNLIMITED,NO TITLE,WINNER: CARLOS NEWTON,1,0:52,SUBMISSION,-,-,-,-,-,-
CHUCK LIDDELL,NOE HERNANDEZ,UNLIMITED,NO TITLE,WINNER: CHUCK LIDDELL,1,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
FRANK SHAMROCK,JOHN LOBER,UNLIMITED,NO TITLE,WINNER: FRANK SHAMROCK,1,7:40,SUBMISSION,-,-,-,-,-,-
PAT MILETICH,MIKEY BURNETT,UNLIMITED,NO TITLE,WINNER: PAT MILETICH,3,5:00,DECISION - SPLIT,-,-,-,-,-,-
PEDRO RIZZO,TANK ABBOTT,UNLIMITED,NO TITLE,WINNER: PEDRO RIZZO,1,8:07,KO/TKO,-,-,-,-,-,-
TSUYOSHI KOSAKA,PETE WILLIAMS,UNLIMITED,NO TITLE,WINNER: TSUYOSHI KOSAKA,2,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
