Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
MARCUS AURELIO,LUKE CAUDILLO,LIGHTWEIGHT,NO TITLE,WINNER: LUKE CAUDILLO,1,4:29,KO/TKO,-,-,-,-,-,-
AKIHIRO GONO,TAMDAN MCCRORY,WELTERWEIGHT,NO TITLE,WINNER: AKIHIRO GONO,2,3:19,SUBMISSION,-,-,-,-,-,-
ROGER HUERTA,CLAY GUIDA,LIGHTWEIGHT,NO TITLE,WINNER: ROGER HUERTA,3,0:51,SUBMISSION,-,-,-,UNITED STATES,-,-
MAC DANZIG,TOMMY SPEER,WELTERWEIGHT,NO TITLE,WINNER: TOMMY SPEER,1,2:01,SUBMISSION,-,-,-,-,-,-
JON KOPPENHAVER,JARED ROLLINS,WELTERWEIGHT,NO TITLE,WINNER: JARED ROLLINS,3,2:01,KO/TKO,-,-,-,-,-,-
GEORGE SOTIROPOULOS,BILLY MILES,WELTERWEIGHT,NO TITLE,WINNER: BILLY MILES,1,1:36,SUBMISSION,-,-,-,-,-,-
BEN SAUNDERS,DAN BARRERA,WELTERWEIGHT,NO TITLE,WINNER: BEN SAUNDERS,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,-,-,-
TROY MANDALONIZ,RICHIE HIGHTOWER,WELTERWEIGHT,NO TITLE,WINNER: TROY MANDALONIZ,1,4:20,KO/TKO,-,-,-,-,-,-
MATT ARROYO,JOHN KOLOSCI,WELTERWEIGHT,NO TITLE,WINNER: MATT ARROYO,1,4:42,SUBMISSION,-,-,-,-,-,-
ROMAN MITICHYAN,DORIAN PRICE,WELTERWEIGHT,NO TITLE,WINNER: ROMAN MITICHYAN,1,0:23,SUBMISSION,-,-,-,-,-,-
JONATHAN GOULET,PAUL GEORGIEFF,WELTERWEIGHT,NO TITLE,WINNER: PAUL GEORGIEFF,1,4:42,SUBMISSION,-,-,-,-,-,-
GEORGES ST-PIERRE,MATT HUGHES,WELTERWEIGHT,INTERIM TITLE,WINNER: MATT HUGHES,2,4:54,SUBMISSION,-,-,CANADA,-,-,-
CHUCK LIDDELL,WANDERLEI SILVA,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: CHUCK LIDDELL,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,-,-,-,-
